N,true_prev,n,Se,Sp,repl,coverage_exact_CP_mean,width_exact_CP_mean,width_exact_CP_sd,coverage_exact_B_mean,width_exact_B_mean,width_exact_B_sd,loc_exact_mean,loc_exact_sd,coverage_simul_CP_mean,width_simul_CP_mean,width_simul_CP_sd,coverage_simul_B_mean,width_simul_B_mean,width_simul_B_sd,loc_simul_mean,loc_simul_sd,coverage_Bayes_mean,width_Bayes_mean,width_Bayes_sd,loc_Bayes_mean,loc_Bayes_sd,loc_RG_mean,loc_RG_sd,coverage_FPC_mean,width_FPC_mean,width_FPC_sd,coverage_Ge_mean,width_Ge_mean,width_Ge_sd,loc_Ge_mean,loc_Ge_sd,coverage_binom_CP_mean,width_binom_CP_mean,width_binom_CP_sd,coverage_binom_B_mean,width_binom_B_mean,width_binom_B_sd
50,0.01,5,0.8,0.8,5000,0.995,0.77504,0.19027537766056,0.995,0.727052,0.190205743711877,0.108072,0.197376174567391,0.995,0.768624,0.198178610289595,0.987,0.725012,0.195325037386521,0.12184,0.191391380506298,0.9414,0.666032,0.139159649531075,0.112536,0.20184418970925,0.107133333333333,0.19713841567084,0.995,1.05664988262582,0.494805309417667,0.9948,3.12442785272518,3.18174705789647,0.310419847762453,0.246683934065883,0.995,0.789016258188616,0.18607622871821,0.995,0.736326524855289,0.191120415940121
50,0.02,5,0.8,0.8,5000,0.9922,0.78768,0.187599297171551,0.9922,0.739364,0.189777550325958,0.1196,0.208014263902256,0.9922,0.781992,0.195008403899725,0.9916,0.737888,0.194246559303274,0.133148,0.200962701259362,0.9288,0.675212,0.136895665163759,0.121844,0.21184611258903,0.118666666666667,0.208097719670799,0.9922,1.08924814045258,0.485360882004275,0.9924,2.93177135695101,3.09864397575395,0.305977929921399,0.247911125754493,0.9922,0.801365302787283,0.18314349757073,0.9922,0.748839102787288,0.190104024629849
50,0.05,5,0.8,0.8,5000,0.9892,0.796704,0.186867975619319,0.9892,0.749332,0.191045893655678,0.131884,0.217445503640362,0.9892,0.790984,0.194228774148789,0.9892,0.748372,0.194978544826318,0.145512,0.209727477882598,0.922,0.682736,0.139274957572283,0.136084,0.22021781063489,0.130933333333333,0.217815813810084,0.9892,1.11090402360388,0.480896384712433,0.9892,2.83125326274054,3.05224272864434,0.308505077469765,0.247526017477645,0.9892,0.809990058423162,0.182114899711007,0.9892,0.758664258423168,0.190893410096904
50,0.1,5,0.8,0.8,5000,0.9802,0.831744,0.178483303762409,0.9802,0.787132,0.189846103158787,0.179776,0.248158550844559,0.9802,0.827488,0.185181608972544,0.9802,0.786064,0.192614661917511,0.191632,0.239842034298167,0.8892,0.706244,0.135402065005825,0.170608,0.242888100288698,0.178866666666667,0.249348563365265,0.9802,1.19613800530756,0.450421312054328,0.9824,2.37594733218362,2.75849252244059,0.31445267854472,0.248939927029554,0.9802,0.843615395027729,0.172840325526189,0.9802,0.796183528361067,0.187833335629982
50,0.2,5,0.8,0.8,5000,0.9984,0.870048,0.162187973301773,0.9668,0.82962,0.181097583824228,0.2419,0.274231126136528,0.9982,0.866688,0.168067962515183,0.9676,0.829272,0.182164394955101,0.252664,0.265542097651437,0.9624,0.742028,0.128539767038618,0.249612,0.278347956653169,0.241266666666667,0.276656893455103,0.8226,1.28778606209699,0.39894812747103,0.9784,1.93301694164726,2.35117032839552,0.335853892062649,0.256041562043956,0.9984,0.880192242037277,0.155768534915549,0.9668,0.838039508703948,0.177157343595434
50,0.5,5,0.8,0.8,5000,1,0.920896,0.126561292408648,0.9694,0.888372,0.156666839234419,0.498,0.32473837315938,0.9804,0.918048,0.132267640191123,0.969,0.88876,0.153801929138361,0.499156,0.316821089551433,1,0.785156,0.107002549376707,0.491336,0.321879816744209,0.501133333333333,0.331425566845784,0.9374,1.40538736681015,0.294272803244181,1,1.29323004939231,1.17953978229852,0.501652950637546,0.284383207204572,1,0.92826650995063,0.119426730414801,1,0.895843043283967,0.148719047032912
50,0.01,10,0.8,0.8,5000,0.9912,0.537688,0.2140810612739,0.965,0.487748,0.213898852357389,0.083344,0.140952726820873,0.99,0.53792,0.216805799163468,0.965,0.502096,0.210809902393103,0.089492,0.135661574325782,0.9658,0.496924,0.139686365405275,0.084392,0.139551729738669,0.0802000000000001,0.138502374321344,0.9912,0.799809648702909,0.191074098612951,0.9654,1.16527359786221,1.75800864275977,0.123493180867824,0.151772898995037,0.9912,0.565989984003952,0.213415640135723,0.965,0.544730937519549,0.204772851425083
50,0.02,10,0.8,0.8,5000,0.9888,0.564756,0.214287853880859,0.9596,0.51556,0.214514637509754,0.097664,0.149191805213787,0.9888,0.564724,0.216682888384902,0.9618,0.528828,0.211304605589345,0.103876,0.14362918398605,0.9606,0.511336,0.142140268309776,0.096504,0.147590699527163,0.0941000000000001,0.146854247131797,0.9888,0.822053674380131,0.186200939193578,0.9634,1.09981618826158,1.63990936894224,0.133265922565795,0.155156866818793,0.9888,0.592990920457183,0.212910638220818,0.9596,0.570158847021639,0.203142118728439
50,0.05,10,0.8,0.8,5000,0.9894,0.58146,0.214967510582695,0.9518,0.531712,0.214841477438798,0.108512,0.155037650880804,0.9894,0.581976,0.216921890193888,0.9732,0.545376,0.210856516897495,0.114084,0.149220153715425,0.9466,0.52258,0.144410506816145,0.107912,0.156631755903429,0.1047,0.152837326973387,0.9894,0.835142054244807,0.180312929987228,0.9812,1.02776308349581,1.52088958763867,0.138964440135012,0.157585157842693,0.9894,0.60940490750826,0.212755485513291,0.9894,0.585488025276189,0.201204214815692
50,0.1,10,0.8,0.8,5000,0.9774,0.634604,0.207817421791726,0.9774,0.584492,0.207165261144539,0.145752,0.175712860934821,0.9792,0.634996,0.209247692707424,0.9774,0.596152,0.203213021242243,0.149884,0.169527267549762,0.9766,0.563676,0.149371447706307,0.152564,0.180320406481903,0.1413,0.174583202937277,0.9774,0.8765152124081,0.158869247996886,0.9774,0.870663706802931,1.16121691756612,0.164668182534064,0.17255174178005,0.9774,0.661853991140513,0.203551692977896,0.9774,0.634271479068844,0.188767176838137
