N,true_prev,n,Se,n_Se,Sp,n_Sp,repl,coverage_prLik_mean,width_prLik_mean,width_prLik_sd,loc_prLik_mean,loc_prLik_sd,loc_RG_mean,loc_RG_sd
50,0.01,5,0.8,50,0.8,50,5000,0.9674,0.734396,0.169520330971015,0.125594656755134,0.201856422908112,0.12436317834469,0.202315693563446
50,0.02,5,0.8,50,0.8,50,5000,0.9688,0.739984,0.170876093915721,0.134927115608051,0.209712933517318,0.133665734599675,0.210164978265702
50,0.05,5,0.8,50,0.8,50,5000,0.976,0.752192,0.17070648281965,0.145505255188773,0.212864731299558,0.144150954443325,0.213429360332191
50,0.1,5,0.8,50,0.8,50,5000,0.9758,0.77872,0.17323984532665,0.185763941885338,0.239887145535668,0.184582650042302,0.240632858588989
50,0.2,5,0.8,50,0.8,50,5000,0.9684,0.814676,0.168614059805915,0.256981253755747,0.274210575077703,0.255933448926386,0.275291165832102
50,0.5,5,0.8,50,0.8,50,5000,0.9942,0.871324,0.149356983518365,0.504481760492976,0.321868497959056,0.50422175462471,0.323285884753466
50,0.01,5,0.9,50,0.8,50,5000,0.969,0.627508,0.166090418572018,0.104242105731061,0.170144349439967,0.102742229064568,0.169882572144732
50,0.02,5,0.9,50,0.8,50,5000,0.9748,0.6419,0.169305767440385,0.116756489478522,0.178378571682538,0.115173037600932,0.178147091480817
50,0.05,5,0.9,50,0.8,50,5000,0.9774,0.652368,0.17119092803875,0.126488943741329,0.185192078796467,0.124882672943925,0.18502330653453
50,0.1,5,0.9,50,0.8,50,5000,0.9724,0.68442,0.175702014329853,0.169044324070539,0.215222255028839,0.167300972755797,0.215289606836551
50,0.2,5,0.9,50,0.8,50,5000,0.9666,0.73792,0.176321897342039,0.240468902818368,0.244262201741183,0.238679538103204,0.244639416507089
50,0.5,5,0.9,50,0.8,50,5000,0.9862,0.828856,0.146444052238687,0.501126046881842,0.284386412573984,0.499827007160836,0.285533911828914
50,0.01,5,0.99,50,0.8,50,5000,0.972,0.549944,0.144338503472625,0.094589247093788,0.149370498004121,0.0926367787404331,0.148534393550738
50,0.02,5,0.99,50,0.8,50,5000,0.9758,0.562892,0.14749992400512,0.106272606220017,0.158482171733895,0.104214627341291,0.157637730867744
50,0.05,5,0.99,50,0.8,50,5000,0.977,0.572476,0.150837196327561,0.117015265824879,0.166850112461422,0.114928568066713,0.166001133234794
50,0.1,5,0.99,50,0.8,50,5000,0.9776,0.606176,0.156726161319444,0.154372269953472,0.190548126487425,0.151989251029643,0.189750559913912
50,0.2,5,0.99,50,0.8,50,5000,0.962,0.662536,0.157063880368795,0.233823439433269,0.229230702248519,0.230977045866955,0.228489723861891
50,0.5,5,0.99,50,0.8,50,5000,0.9832,0.76474,0.117140756320583,0.500149700314249,0.263012552164612,0.496477241918505,0.262740356450843
50,0.01,5,0.8,100,0.8,50,5000,0.9672,0.72636,0.168369415429318,0.123981490225203,0.199473626480879,0.122717688266315,0.199798809489911
50,0.02,5,0.8,100,0.8,50,5000,0.9706,0.733268,0.168352334934017,0.133803647967977,0.207492440168715,0.132504170712997,0.207923877810116
50,0.05,5,0.8,100,0.8,50,5000,0.9744,0.743336,0.170395651469185,0.143741815695631,0.213942700466585,0.142387138216585,0.214337837195788
50,0.1,5,0.8,100,0.8,50,5000,0.977,0.776864,0.172584943191819,0.18807813493788,0.236890944613054,0.18685196126361,0.237545991124368
50,0.2,5,0.8,100,0.8,50,5000,0.9716,0.815632,0.167668670694995,0.255899386427177,0.270008491387392,0.254606504338471,0.270905692212507
50,0.5,5,0.8,100,0.8,50,5000,0.9956,0.869384,0.151784809087253,0.50106339561355,0.321519864711966,0.500478692058028,0.322583593190903
50,0.01,5,0.9,100,0.8,50,5000,0.971,0.627184,0.161775227982772,0.106392974429259,0.167016565905809,0.104868581446337,0.166701376606088
50,0.02,5,0.9,100,0.8,50,5000,0.9744,0.639728,0.165593629907836,0.119624736659266,0.179703973231679,0.118127173540564,0.179447920265198
50,0.05,5,0.9,100,0.8,50,5000,0.976,0.646472,0.166253184150704,0.126280146121724,0.185307435918808,0.124691678361498,0.185076501543077
50,0.1,5,0.9,100,0.8,50,5000,0.9758,0.685192,0.173495427226926,0.171870621702081,0.212360310912001,0.170165778072966,0.212375668331693
50,0.2,5,0.9,100,0.8,50,5000,0.967,0.73976,0.172828690764208,0.24762399587233,0.247002796099919,0.245870392207228,0.247338468400948
50,0.5,5,0.9,100,0.8,50,5000,0.9836,0.82282,0.145835733660315,0.502066855023775,0.287556735339519,0.500767880315652,0.28873853062261
50,0.01,5,0.99,100,0.8,50,5000,0.9732,0.54978,0.143195714330145,0.0939297505708225,0.148749379014786,0.0920949834774339,0.147862314387351
50,0.02,5,0.99,100,0.8,50,5000,0.9682,0.56124,0.145522430420713,0.107450640648736,0.162749500511011,0.105402162836463,0.161889195715469
50,0.05,5,0.99,100,0.8,50,5000,0.9732,0.573452,0.150381270779709,0.119362155950368,0.172430174982917,0.117230890174115,0.17155771452955
50,0.1,5,0.99,100,0.8,50,5000,0.9728,0.61192,0.154661364365912,0.160406066852257,0.192676269857117,0.157979038446883,0.19186393954792
50,0.2,5,0.99,100,0.8,50,5000,0.9678,0.666252,0.155943887970125,0.233690549931819,0.22424752827173,0.230907167746974,0.223522557273138
50,0.5,5,0.99,100,0.8,50,5000,0.9798,0.764728,0.118682025179132,0.50314524600787,0.263012708653526,0.499456728781772,0.262692865622323
50,0.01,5,0.8,1000,0.8,50,5000,0.9684,0.722828,0.169939572518179,0.122988222975364,0.196723698535303,0.121677390650499,0.196870194854158
50,0.02,5,0.8,1000,0.8,50,5000,0.972,0.733196,0.168752010453821,0.132958419245517,0.205141848512653,0.13163709334351,0.205338455328999
50,0.05,5,0.8,1000,0.8,50,5000,0.9742,0.743492,0.173204058454682,0.150253252624201,0.217648011379721,0.148964821346749,0.21802062785561
50,0.1,5,0.8,1000,0.8,50,5000,0.9708,0.77086,0.175895901810289,0.187334782188031,0.242656895495353,0.186031090754333,0.243074994032017
50,0.2,5,0.8,1000,0.8,50,5000,0.9686,0.813236,0.17205187785588,0.257408619837456,0.274642576362841,0.256036535830574,0.275216719339798
50,0.5,5,0.8,1000,0.8,50,5000,0.9958,0.8711,0.15284535433067,0.502212047483369,0.324507651347812,0.501197453957688,0.324846885349242
50,0.01,5,0.9,1000,0.8,50,5000,0.9716,0.618976,0.15701936963473,0.101561000217796,0.16764422196331,0.100264374001362,0.16722600194012
50,0.02,5,0.9,1000,0.8,50,5000,0.9744,0.633896,0.1609593823564,0.115931659198796,0.17658686431159,0.114567019511628,0.176225035598148
50,0.05,5,0.9,1000,0.8,50,5000,0.9752,0.648988,0.165770901711883,0.131214356686427,0.187950648576051,0.129804298109826,0.187621365559463
50,0.1,5,0.9,1000,0.8,50,5000,0.9738,0.683488,0.172307666232146,0.173025170132964,0.215232489162494,0.171445117916687,0.215088082707969
50,0.2,5,0.9,1000,0.8,50,5000,0.9712,0.735328,0.174030082772899,0.242583450840621,0.243951598661397,0.240922567795248,0.244074235271829
50,0.5,5,0.9,1000,0.8,50,5000,0.9812,0.82486,0.146647200724378,0.502214850949159,0.284672970199382,0.500898313928793,0.285621537306804
50,0.01,5,0.99,1000,0.8,50,5000,0.9682,0.55058,0.143933203095709,0.0956814752002583,0.151473017175339,0.0938030608161481,0.150596482536987
50,0.02,5,0.99,1000,0.8,50,5000,0.9696,0.561312,0.146410948665658,0.105932538362698,0.160683614266297,0.103919758970291,0.159827733087965
50,0.05,5,0.99,1000,0.8,50,5000,0.9766,0.577744,0.150174501631229,0.122427346264061,0.167887735966238,0.120301814788821,0.167074553297855
50,0.1,5,0.99,1000,0.8,50,5000,0.9726,0.610992,0.156498927532631,0.16167331223577,0.195502138373214,0.159202328056999,0.194682835866738
50,0.2,5,0.99,1000,0.8,50,5000,0.9666,0.661956,0.15504767660434,0.233368365410745,0.227818618413917,0.230581422163353,0.227055913021324
50,0.5,5,0.99,1000,0.8,50,5000,0.9816,0.762796,0.11651376517603,0.505332941168898,0.262496097233257,0.501687502665884,0.262254711802479
50,0.01,5,0.8,50,0.9,50,5000,0.9708,0.658868,0.135701147881318,0.084776108224692,0.136632983701362,0.0846468831385274,0.137302012895039
50,0.02,5,0.8,50,0.9,50,5000,0.9808,0.673688,0.143286932010484,0.0978391044658644,0.147555323218831,0.0976820828975014,0.148256251645835
50,0.05,5,0.8,50,0.9,50,5000,0.9696,0.68358,0.145282500670247,0.113319520792598,0.161701389353065,0.11322357798297,0.162560586335733
50,0.1,5,0.8,50,0.9,50,5000,0.974,0.717212,0.153655423118778,0.15301828481947,0.187002450604849,0.152943162684007,0.188035960455404
50,0.2,5,0.8,50,0.9,50,5000,0.9804,0.767244,0.157483982375799,0.234732605287421,0.229411195080212,0.234988814693292,0.230638765228583
50,0.5,5,0.8,50,0.9,50,5000,0.9862,0.826552,0.146298571252046,0.500087772372178,0.287402953268276,0.501315895920424,0.288538795275436
50,0.01,5,0.9,50,0.9,50,5000,0.9702,0.569388,0.120593092649616,0.0732807868473544,0.119060211744462,0.0728930045593947,0.119387603138986
50,0.02,5,0.9,50,0.9,50,5000,0.9752,0.581516,0.126963481714774,0.0870482278529795,0.13258912135578,0.0867007849191815,0.132929905083395
50,0.05,5,0.9,50,0.9,50,5000,0.9742,0.596932,0.134714724463948,0.103357936201791,0.144268401394255,0.103017796279583,0.14467325721751
50,0.1,5,0.9,50,0.9,50,5000,0.9776,0.634936,0.146258108119988,0.143824904687594,0.167328074294964,0.143453527937958,0.167860612610559
50,0.2,5,0.9,50,0.9,50,5000,0.9794,0.688088,0.151634240343561,0.222831015368487,0.209914274270949,0.222551216869386,0.21054035316313
50,0.5,5,0.9,50,0.9,50,5000,0.97,0.773896,0.130184064931744,0.500136164800367,0.262214115004295,0.500035313573938,0.262772943893284
50,0.01,5,0.99,50,0.9,50,5000,0.9718,0.505252,0.101293971142008,0.0669650093360409,0.106860112672774,0.066440744308429,0.106900893404039
50,0.02,5,0.99,50,0.9,50,5000,0.977,0.517192,0.108507280410028,0.0807372012070744,0.12014546673671,0.0801980260688928,0.120181844655676
50,0.05,5,0.99,50,0.9,50,5000,0.981,0.525468,0.11247786995781,0.090187586294455,0.126397003567917,0.0896470323489957,0.126471331304912
50,0.1,5,0.99,50,0.9,50,5000,0.9652,0.568084,0.12519082830902,0.140070556396916,0.160227263618282,0.139350855372427,0.16018554385321
50,0.2,5,0.99,50,0.9,50,5000,0.9784,0.628516,0.130662053628633,0.224260939785256,0.195847588364521,0.223295405255831,0.195531322308471
50,0.5,5,0.99,50,0.9,50,5000,0.9662,0.714064,0.100491112028474,0.501615064400914,0.241150824696096,0.499371987009288,0.240012615036328
50,0.01,5,0.8,100,0.9,50,5000,0.9718,0.659756,0.13326804770277,0.0892126532019503,0.137803757451526,0.0890896201508356,0.138473697582539
50,0.02,5,0.8,100,0.9,50,5000,0.9776,0.665312,0.134656485658233,0.0970960830540129,0.147377785879471,0.0969118555289045,0.148060531938755
50,0.05,5,0.8,100,0.9,50,5000,0.9696,0.68052,0.14307642633486,0.114934494819199,0.162131873252837,0.114860536510231,0.162873554600194
50,0.1,5,0.8,100,0.9,50,5000,0.9708,0.710988,0.148865899611743,0.154641253916425,0.189631185076231,0.154574301297328,0.190540528893738
50,0.2,5,0.8,100,0.9,50,5000,0.9814,0.76342,0.156092717918926,0.232904701484468,0.226145951978319,0.233123303684125,0.227296968929284
50,0.5,5,0.8,100,0.9,50,5000,0.9894,0.82274,0.147930216892337,0.500117440055242,0.290128637434403,0.501067209006794,0.29088905668875
